numero,question_id,modelo,tipo,valor_total,nota_obtida,nota_maxima,percentual,erro,resposta_a,resposta_b,avaliacao,tokens_total,resposta,tokens_resposta,avaliacao_erro;;
Em resumo, a nova lei ordinária municipal não poderia alterar a alíquota do ISS para 5%, pois isso é competência de uma lei complementar. A alteração da alíquota do ISS deve ser feita por meio de uma lei complementar, e não por meio de uma lei ordinária municipal.;;
;;
"Além disso, é importante destacar que o princípio """"tempus regit actum"""" não se aplica nesse caso, pois a alteração da alíquota do ISS é uma questão de competência legislativa, e não uma questão de vigência da lei. O princípio """"tempus regit actum"""" estabelece que a lei vigente no momento da ocorrência do fato é a que deve ser aplicada, mas não autoriza a alteração da competência legislativa.";;
;;
"Portanto, a Barbearia Júpiter Ltda. tem razão em questionar a cobrança do ISS com base na nova alíquota de 5%, pois a alteração da alíquota do ISS não foi feita por meio de uma lei complementar, e sim por meio de uma lei ordinária municipal, o que é inconstitucional."",,3151.0,,,";;
"114,42_direito_tributario_questao_3,LLaMA 3.3 70B (Meta via Groq),questao,1.25,,0.65,,,""A adoção de alíquotas diferenciadas de IPVA em razão do uso do automóvel como carro de passeio e como táxi não é válida. Isso porque o Imposto sobre a Propriedade de Veículos Automotores (IPVA) é um tributo estadual que incide sobre a propriedade de veículos automotores, e sua base de cálculo é o valor venal do veículo.";;
;;
De acordo com o artigo 155, § 2º, da Constituição Federal, os estados e o Distrito Federal têm competência para instituir impostos sobre a propriedade de veículos automotores. No entanto, o § 3º do mesmo artigo estabelece que a alíquota do IPVA não pode ser superior à alíquota do ICMS (Imposto sobre Operações Relativas à Circulação de Mercadorias e Prestação de Serviços de Comunicação e de Transporte Interestadual e Intermunicipal e de Comunicação).;;
;;
Além disso, o Código Tributário Nacional (CTN) estabelece, em seu artigo 145, § 1º, que a lei tributária não pode estabelecer distinção entre contribuintes que se encontrem em situação equivalente. Isso significa que a lei não pode estabelecer alíquotas diferenciadas com base em critérios que não sejam relacionados à capacidade contributiva do contribuinte.;;
;;
Nesse sentido, a adoção de alíquotas diferenciadas de IPVA em razão do uso do automóvel como carro de passeio e como táxi não se justifica, pois o uso do veículo não é um critério que reflita a capacidade contributiva do contribuinte. Além disso, a distinção entre os dois usos do veículo pode ser considerada arbitrária e não atende ao princípio da isonomia tributária.;;
;;
